NAME,total_subscribers,total_views,total_videos,ID
And TV ,23800000,18624120602,10351,UCxJcrDUc8awRSLzLbnIiAmQ
SriBalajiMovies ,17300000,7869490289,123375,UCoy3dQzEdq1y2zMnT4pdj3Q
Taarak Mehta Ka Ooltah Chashmah ,16600000,8969807194,6199,UCnSFZ-olBoLGLRUS_3RI2Aw
NDTV India ,16000000,1950954368,169,UC9CYT9gSNLevX5ey2_6CK0Q
Volga Video ,19900000,8842905728,195,UCIeNlITYK46VkR7yIuTL8GQ
Harsh Beniwal ,16400000,2612225781,3788,UCVmEbEQUGXHVm-O9pqa3JWg
Fun For Kids TV - Hindi Rhymes ,16400000,6855159100,20081,UCe3GjNY3Kqi8Xd6nT4JN_6w
Gyan Gamingㅤ ,41100000,28503484166,632,UChXi_PlJkRMPYFQBOJ3MpxA
Team Films Bhojpuri ,17200000,7134297799,5275,UCB4SvelHl4qjFSNYfxhp-SQ
Shorts Break ,18600000,20481311845,111469,UCgJ5_1F6yJhYLnyMszUdmUg
SRK MUSIC ,19400000,6920409405,185,UCAH1Aw-mXgcB3t8uaqW4yTA
Mazhavil Manorama ,15700000,20298646391,130590,UCUPD0jQo-EP0B1Nf4uzeIMA
DM - Desi Melodies ,17400000,12633142534,3547,UC783dnzJqf2ghHp_pFLYbGA
ZEE5 ,17200000,6852838320,337,UCXOgAl4w-FQero1ERbGHpXQ
Sony Music South ,13600000,524594883,1185,UCn4rEMqKtwBQ6-oEwbd4PcA
MY FAMILY ,14300000,5528971376,588,UC4B6dDVB0Umrh5l4UgxUtyg
Online Job ,17600000,5420274552,194,UCL3IoeeHKzWMxZxhmnmETjw
infobells ,13800000,5256170333,429,UCU_AsfgtKjwR4qaSwgsWn-w
The MriDul ,13600000,3598513653,617,UC0zXnLIFedO97pFsyMxZcFg
MyMissAnand ,14300000,3202774506,2268,UCpCWa9f5_J3PqY-_Lg-_QfQ
Anaysa ,14800000,14734913335,11841,UCuN4A3GCUq5-0wJDSiJoxRQ
NishaMadhulika ,15200000,3503096030,397,UCgoxyzvouZM-tCgsYzrYtyg
ETV Jabardasth ,15500000,2466385885,1420,UCnoqvTW4YZExfDeq7_Wmd-w
Mythpat ,16900000,11067532628,142753,UCx6F-rETGiz7xf_vkMmX2yQ
Desi Gamers ,13400000,1869543138,393,UCuApqv2tNQ73S7gcfrfCSDw
Zee Bangla ,15700000,12478822925,159869,UCeMsqI6jU9WE2ctsrbxbywQ
Lotus Music ,18200000,1707356041,843,UCJeeXUtsKBj89Ra1nszP4JQ
CookingShooking Hindi ,18200000,9025268219,10432,UCTbNOCtAGaqOEnLMeo3JTeg
Zee Telugu ,12400000,1020414730,2152,UC3PYGKK29qJ0zu-eEthHK4g
