#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,total_subscribers,total_views,total_videos
60,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17.1M,5.9%,India,,5.1M,22700000,9509343670,256
61,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17.1M,1%,India,,5.1M,22600000,8139447386,264
62,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16.9M,-,India,,5.1M,23300000,10121789400,4287
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16.7M,-,India,,5M,17200000,1063948976,1747
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16.6M,-,India,,5M,21100000,9584305925,552
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16.1M,-,India,,4.8M,17900000,10619244113,552
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15.9M,-,India,,4.8M,23300000,5845017184,949
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15.8M,0.4%,India,Celebrity,4.7M,21900000,19472340601,49601
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15.7M,-,India,Video Gaming,4.7M,18700000,10848584366,25857
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15.7M,-,India,,4.7M,23800000,18624120602,10351
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15.5M,-,India,,4.7M,17300000,7869490289,123375
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15.2M,-,India,,4.6M,16600000,8969807194,6199
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15.1M,-,India,,4.5M,16000000,1950954368,169
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15M,-,India,,4.5M,19900000,8842905728,195
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15M,10.3%,India,,4.5M,16400000,2612225781,3788
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14.5M,-,India,,4.4M,16400000,6855159100,20081
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14.4M,-,India,Video Gaming,4.3M,41100000,28503484166,632
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14.4M,-,India,,4.3M,17200000,7134297799,5275
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14.3M,4.3%,India,,4.3M,18600000,20481311845,111469
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14.2M,-,India,,4.3M,19400000,6920409405,185
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14M,-,India,,4.2M,15700000,20298646391,130590
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14M,-,India,,4.2M,17400000,12633142534,3547
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13.9M,-,India,,4.2M,17200000,6852838320,337
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13.8M,-,India,,4.1M,13600000,524594883,1185
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13.8M,0.1%,India,Celebrity,4.1M,14300000,5528971376,588
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13.5M,-,India,,4.1M,17600000,5420274552,194
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13.5M,-,India,,4.1M,13800000,5256170333,429
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13.3M,-,India,,4M,13600000,3598513653,617
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13.2M,0.2%,India,,4M,14300000,3202774506,2268
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13.2M,0.1%,India,Fashion Beauty,4M,14800000,14734913335,11841
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13.1M,-,India,,3.9M,15200000,3503096030,397
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13M,-,India,,3.9M,15500000,2466385885,1420
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13M,-,India,Video Gaming,3.9M,16900000,11067532628,142753
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13M,0.5%,India,,3.9M,13400000,1869543138,393
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13M,-,India,,3.9M,15700000,12478822925,159869
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12.9M,-,India,Music,3.9M,18200000,1707356041,843
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12.8M,-,India,,3.8M,18200000,9025268219,10432
97,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12.7M,-,India,,3.8M,12400000,1020414730,2152
98,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12.7M,-,India,,3.8M,,,
99,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12.6M,-,India,,3.8M,,,
100,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12.6M,-,India,,3.8M,,,
